balanced_acc,mcc,f1,accuracy,strategy,test_subject,n
1.0,1.0,1.0,1.0,online_quantile[k=3],S15,6
1.0,1.0,1.0,1.0,online_median[k=3],S15,6
0.8333333333333333,0.7071067811865476,0.8,0.8333333333333334,online_quantile[k=5],S15,6
0.8333333333333333,0.7071067811865476,0.8,0.8333333333333334,online_median[k=5],S15,6
1.0,1.0,1.0,1.0,fixed_0.5,S17,7
1.0,1.0,1.0,1.0,val_subject,S17,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,train_prior_quantile,S17,7
0.8,0.5477225575051661,0.75,0.7142857142857143,online_quantile[k=2],S17,7
0.8,0.5477225575051661,0.75,0.7142857142857143,online_median[k=2],S17,7
0.8,0.5477225575051661,0.75,0.7142857142857143,online_quantile[k=3],S17,7
0.8,0.5477225575051661,0.75,0.7142857142857143,online_median[k=3],S17,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_quantile[k=5],S17,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_median[k=5],S17,7
0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,fixed_0.5,S18,14
0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,val_subject,S18,14
0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,train_prior_quantile,S18,14
0.7857142857142857,0.5773502691896257,0.8,0.7857142857142857,online_quantile[k=2],S18,14
0.7857142857142857,0.5773502691896257,0.8,0.7857142857142857,online_median[k=2],S18,14
0.7857142857142857,0.5773502691896257,0.8,0.7857142857142857,online_quantile[k=3],S18,14
0.7857142857142857,0.5773502691896257,0.8,0.7857142857142857,online_median[k=3],S18,14
0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,online_quantile[k=5],S18,14
0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,online_median[k=5],S18,14
0.7785714285714285,0.5493502655735357,0.75,0.7647058823529411,fixed_0.5,S19,17
0.7785714285714285,0.5493502655735357,0.75,0.7647058823529411,val_subject,S19,17
0.7785714285714285,0.5493502655735357,0.75,0.7647058823529411,train_prior_quantile,S19,17
0.6785714285714286,0.36780617896031226,0.6666666666666666,0.6470588235294118,online_quantile[k=2],S19,17
0.6785714285714286,0.36780617896031226,0.6666666666666666,0.6470588235294118,online_median[k=2],S19,17
0.6785714285714286,0.36780617896031226,0.6666666666666666,0.6470588235294118,online_quantile[k=3],S19,17
0.6785714285714286,0.36780617896031226,0.6666666666666666,0.6470588235294118,online_median[k=3],S19,17
0.6785714285714286,0.36780617896031226,0.6666666666666666,0.6470588235294118,online_quantile[k=5],S19,17
0.6785714285714286,0.36780617896031226,0.6666666666666666,0.6470588235294118,online_median[k=5],S19,17
1.0,1.0,1.0,1.0,fixed_0.5,S20,7
1.0,1.0,1.0,1.0,val_subject,S20,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,train_prior_quantile,S20,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_quantile[k=2],S20,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_median[k=2],S20,7
0.9,0.7302967433402214,0.8,0.8571428571428571,online_quantile[k=3],S20,7
0.9,0.7302967433402214,0.8,0.8571428571428571,online_median[k=3],S20,7
1.0,1.0,1.0,1.0,online_quantile[k=5],S20,7
1.0,1.0,1.0,1.0,online_median[k=5],S20,7
0.75,0.6454972243679028,0.6666666666666666,0.8571428571428571,fixed_0.5,S34,7
0.75,0.6454972243679028,0.6666666666666666,0.8571428571428571,val_subject,S34,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,train_prior_quantile,S34,7
0.9,0.7302967433402214,0.8,0.8571428571428571,online_quantile[k=2],S34,7
0.9,0.7302967433402214,0.8,0.8571428571428571,online_median[k=2],S34,7
0.65,0.3,0.5,0.7142857142857143,online_quantile[k=3],S34,7
0.65,0.3,0.5,0.7142857142857143,online_median[k=3],S34,7
0.65,0.3,0.5,0.7142857142857143,online_quantile[k=5],S34,7
0.65,0.3,0.5,0.7142857142857143,online_median[k=5],S34,7
0.5,0.0,0.0,0.8333333333333334,fixed_0.5,S35,6
0.5,0.0,0.0,0.8333333333333334,val_subject,S35,6
0.8,0.4472135954999579,0.5,0.6666666666666666,train_prior_quantile,S35,6
0.9,0.6324555320336759,0.6666666666666666,0.8333333333333334,online_quantile[k=2],S35,6
0.9,0.6324555320336759,0.6666666666666666,0.8333333333333334,online_median[k=2],S35,6
1.0,1.0,1.0,1.0,online_quantile[k=3],S35,6
1.0,1.0,1.0,1.0,online_median[k=3],S35,6
1.0,1.0,1.0,1.0,online_quantile[k=5],S35,6
